slot,latency_us,deadline_miss,emulation_mode,measurement_type
83,18358.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
84,21841.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
85,18545.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
86,18310.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
87,18399.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
88,17480.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
89,18815.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
90,18561.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
91,19306.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
92,17388.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
93,18096.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
94,20740.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
95,18850.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
96,20306.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
97,20889.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
98,22693.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
99,13366.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
