sample_id,t_base_ns,t_probe_ns,overhead_ns,reps_per_run,cb_bits,emulation_mode
80,199480.5,209454.5,9974.0,1000,9216,wsl2-mmap-shm-fallback
81,203893.8,205256.1,1362.3,1000,9216,wsl2-mmap-shm-fallback
82,204345.9,209454.5,5108.6,1000,9216,wsl2-mmap-shm-fallback
83,201222.7,209454.5,8231.8,1000,9216,wsl2-mmap-shm-fallback
84,200347.8,249081.1,48733.3,1000,9216,wsl2-mmap-shm-fallback
85,226995.1,210411.0,-16584.1,1000,9216,wsl2-mmap-shm-fallback
86,200784.3,232727.3,31943.0,1000,9216,wsl2-mmap-shm-fallback
87,203893.8,208979.6,5085.8,1000,9216,wsl2-mmap-shm-fallback
88,198620.7,207567.6,8946.9,1000,9216,wsl2-mmap-shm-fallback
89,199049.7,209931.7,10882.0,1000,9216,wsl2-mmap-shm-fallback
90,200784.3,229825.4,29041.1,1000,9216,wsl2-mmap-shm-fallback
91,200784.3,229253.7,28469.4,1000,9216,wsl2-mmap-shm-fallback
92,210892.4,204345.9,-6546.6,1000,9216,wsl2-mmap-shm-fallback
93,229253.7,212350.2,-16903.5,1000,9216,wsl2-mmap-shm-fallback
94,218388.6,216338.0,-2050.6,1000,9216,wsl2-mmap-shm-fallback
95,209931.7,226995.1,17063.4,1000,9216,wsl2-mmap-shm-fallback
96,201222.7,213333.3,12110.6,1000,9216,wsl2-mmap-shm-fallback
97,206174.5,229253.7,23079.2,1000,9216,wsl2-mmap-shm-fallback
98,206636.8,207101.1,464.4,1000,9216,wsl2-mmap-shm-fallback
99,207101.1,215327.1,8226.0,1000,9216,wsl2-mmap-shm-fallback
