call_id,overhead_ns,emulation_mode
159,16,ebpf-noop-bpftrace-active
160,16,ebpf-noop-bpftrace-active
161,15,ebpf-noop-bpftrace-active
162,15,ebpf-noop-bpftrace-active
163,15,ebpf-noop-bpftrace-active
164,16,ebpf-noop-bpftrace-active
165,15,ebpf-noop-bpftrace-active
166,16,ebpf-noop-bpftrace-active
167,15,ebpf-noop-bpftrace-active
168,17,ebpf-noop-bpftrace-active
169,16,ebpf-noop-bpftrace-active
170,16,ebpf-noop-bpftrace-active
171,15,ebpf-noop-bpftrace-active
172,16,ebpf-noop-bpftrace-active
173,15,ebpf-noop-bpftrace-active
174,15,ebpf-noop-bpftrace-active
175,16,ebpf-noop-bpftrace-active
176,16,ebpf-noop-bpftrace-active
177,15,ebpf-noop-bpftrace-active
178,14,ebpf-noop-bpftrace-active
179,15,ebpf-noop-bpftrace-active
180,14,ebpf-noop-bpftrace-active
181,16,ebpf-noop-bpftrace-active
182,16,ebpf-noop-bpftrace-active
183,16,ebpf-noop-bpftrace-active
184,15,ebpf-noop-bpftrace-active
185,16,ebpf-noop-bpftrace-active
186,16,ebpf-noop-bpftrace-active
187,17,ebpf-noop-bpftrace-active
188,16,ebpf-noop-bpftrace-active
189,15,ebpf-noop-bpftrace-active
190,15,ebpf-noop-bpftrace-active
191,16,ebpf-noop-bpftrace-active
192,16,ebpf-noop-bpftrace-active
193,16,ebpf-noop-bpftrace-active
194,16,ebpf-noop-bpftrace-active
195,16,ebpf-noop-bpftrace-active
196,16,ebpf-noop-bpftrace-active
197,16,ebpf-noop-bpftrace-active
198,16,ebpf-noop-bpftrace-active
199,16,ebpf-noop-bpftrace-active
200,18,ebpf-noop-bpftrace-active
201,15,ebpf-noop-bpftrace-active
202,16,ebpf-noop-bpftrace-active
203,16,ebpf-noop-bpftrace-active
204,15,ebpf-noop-bpftrace-active
205,16,ebpf-noop-bpftrace-active
206,15,ebpf-noop-bpftrace-active
207,14,ebpf-noop-bpftrace-active
208,16,ebpf-noop-bpftrace-active
209,16,ebpf-noop-bpftrace-active
210,15,ebpf-noop-bpftrace-active
211,16,ebpf-noop-bpftrace-active
212,15,ebpf-noop-bpftrace-active
213,16,ebpf-noop-bpftrace-active
214,15,ebpf-noop-bpftrace-active
215,15,ebpf-noop-bpftrace-active
