bg,ls,ls_idx,n_iter,n_messages,n_bits,n_mismatches,bit_diff_rate,status,zero_copy_confirmed,cxl_path
1,384,1,6,10,84480,0,0.000000,PASS,YES,/tmp/cxl_standin.bin
2,384,1,6,10,38400,0,0.000000,PASS,YES,/tmp/cxl_standin.bin
1,256,0,6,10,56320,0,0.000000,PASS,YES,/tmp/cxl_standin.bin
2,256,0,6,10,25600,0,0.000000,PASS,YES,/tmp/cxl_standin.bin
