timestamp_ns,packet_len,direction,emulation_mode
154561352771405,66,in,oai-rfsim-netns-veth-bpftime
154561352772988,66,in,oai-rfsim-netns-veth-bpftime
154561352775475,66,in,oai-rfsim-netns-veth-bpftime
154561352776714,66,in,oai-rfsim-netns-veth-bpftime
154561352778079,66,in,oai-rfsim-netns-veth-bpftime
154561352779428,66,in,oai-rfsim-netns-veth-bpftime
154561352783762,66,in,oai-rfsim-netns-veth-bpftime
154561352818346,98,in,oai-rfsim-netns-veth-bpftime
154561352825493,30474,in,oai-rfsim-netns-veth-bpftime
154561352836601,30474,in,oai-rfsim-netns-veth-bpftime
154561352845847,30474,in,oai-rfsim-netns-veth-bpftime
154561352854472,30474,in,oai-rfsim-netns-veth-bpftime
154561352899760,31922,in,oai-rfsim-netns-veth-bpftime
154561352927440,30474,in,oai-rfsim-netns-veth-bpftime
154561352951207,30474,in,oai-rfsim-netns-veth-bpftime
154561353531664,30474,in,oai-rfsim-netns-veth-bpftime
154561353577281,66,in,oai-rfsim-netns-veth-bpftime
154561353578910,66,in,oai-rfsim-netns-veth-bpftime
154561353588046,1338,in,oai-rfsim-netns-veth-bpftime
154561353641022,30474,in,oai-rfsim-netns-veth-bpftime
154561353645626,410,in,oai-rfsim-netns-veth-bpftime
154561353659299,30474,in,oai-rfsim-netns-veth-bpftime
154561353672772,30474,in,oai-rfsim-netns-veth-bpftime
154561353675460,754,in,oai-rfsim-netns-veth-bpftime
154561353677075,66,in,oai-rfsim-netns-veth-bpftime
154561353685552,30474,in,oai-rfsim-netns-veth-bpftime
154561353689571,410,in,oai-rfsim-netns-veth-bpftime
154561353713966,30474,in,oai-rfsim-netns-veth-bpftime
154561353716924,410,in,oai-rfsim-netns-veth-bpftime
154561353724112,30474,in,oai-rfsim-netns-veth-bpftime
154561353726567,410,in,oai-rfsim-netns-veth-bpftime
154561353737019,30474,in,oai-rfsim-netns-veth-bpftime
154561353739195,410,in,oai-rfsim-netns-veth-bpftime
154561353749637,30474,in,oai-rfsim-netns-veth-bpftime
154561353751828,410,in,oai-rfsim-netns-veth-bpftime
154561353773983,30474,in,oai-rfsim-netns-veth-bpftime
154561353776400,410,in,oai-rfsim-netns-veth-bpftime
154561353790559,30474,in,oai-rfsim-netns-veth-bpftime
154561353792649,410,in,oai-rfsim-netns-veth-bpftime
154561353803929,30474,in,oai-rfsim-netns-veth-bpftime
154561353806275,410,in,oai-rfsim-netns-veth-bpftime
154561353818723,30474,in,oai-rfsim-netns-veth-bpftime
154561353822912,410,in,oai-rfsim-netns-veth-bpftime
154561353848796,30474,in,oai-rfsim-netns-veth-bpftime
154561353851546,410,in,oai-rfsim-netns-veth-bpftime
154561353861924,30474,in,oai-rfsim-netns-veth-bpftime
154561353865565,410,in,oai-rfsim-netns-veth-bpftime
154561353875482,30474,in,oai-rfsim-netns-veth-bpftime
154561353877702,410,in,oai-rfsim-netns-veth-bpftime
154561353886974,30474,in,oai-rfsim-netns-veth-bpftime
154561353889160,410,in,oai-rfsim-netns-veth-bpftime
