cb_index,llr_len,decode_us,bit_diff,e2e_us,emulation_mode,source
3572,19200,10909.2,-1,11179.6,gcp_kvm_cxl_bpftime_node1,measured
3573,19200,11086.9,-1,11514.5,gcp_kvm_cxl_bpftime_node1,measured
3574,19200,11119.6,-1,11412.3,gcp_kvm_cxl_bpftime_node1,measured
3575,19200,11150.1,-1,11452.6,gcp_kvm_cxl_bpftime_node1,measured
3576,19200,11013.3,-1,11350.6,gcp_kvm_cxl_bpftime_node1,measured
3577,19200,11184.7,-1,11721.2,gcp_kvm_cxl_bpftime_node1,measured
3578,19200,11381.7,-1,11668.5,gcp_kvm_cxl_bpftime_node1,measured
3579,19200,10878.0,-1,11310.7,gcp_kvm_cxl_bpftime_node1,measured
3580,19200,11207.1,-1,11677.4,gcp_kvm_cxl_bpftime_node1,measured
3581,19200,10823.7,-1,11204.6,gcp_kvm_cxl_bpftime_node1,measured
3582,19200,11343.7,-1,11642.1,gcp_kvm_cxl_bpftime_node1,measured
3583,19200,11217.5,-1,11649.9,gcp_kvm_cxl_bpftime_node1,measured
3584,19200,10763.7,-1,11290.3,gcp_kvm_cxl_bpftime_node1,measured
3585,19200,11154.4,-1,11531.7,gcp_kvm_cxl_bpftime_node1,measured
3586,19200,10525.8,-1,10867.4,gcp_kvm_cxl_bpftime_node1,measured
3587,19200,11103.9,-1,11439.8,gcp_kvm_cxl_bpftime_node1,measured
3588,19200,11357.4,-1,11758.3,gcp_kvm_cxl_bpftime_node1,measured
3589,19200,11101.9,-1,11635.7,gcp_kvm_cxl_bpftime_node1,measured
3590,19200,10765.0,-1,11198.8,gcp_kvm_cxl_bpftime_node1,measured
3591,19200,10894.5,-1,11304.8,gcp_kvm_cxl_bpftime_node1,measured
3592,19200,10501.6,-1,10751.8,gcp_kvm_cxl_bpftime_node1,measured
3593,19200,10518.7,-1,10974.6,gcp_kvm_cxl_bpftime_node1,measured
3594,19200,10536.7,-1,10983.9,gcp_kvm_cxl_bpftime_node1,measured
3595,19200,10837.6,-1,11275.7,gcp_kvm_cxl_bpftime_node1,measured
3596,19200,11128.3,-1,11403.0,gcp_kvm_cxl_bpftime_node1,measured
3597,19200,10769.3,-1,11134.0,gcp_kvm_cxl_bpftime_node1,measured
3598,19200,10930.2,-1,11454.6,gcp_kvm_cxl_bpftime_node1,measured
3599,19200,11232.3,-1,11576.9,gcp_kvm_cxl_bpftime_node1,measured
3600,19200,11375.8,-1,11541.8,gcp_kvm_cxl_bpftime_node1,measured
3601,19200,11181.4,-1,11623.5,gcp_kvm_cxl_bpftime_node1,measured
3602,19200,11227.8,-1,11675.9,gcp_kvm_cxl_bpftime_node1,measured
3603,19200,11102.6,-1,11668.0,gcp_kvm_cxl_bpftime_node1,measured
3604,19200,11097.5,-1,11326.4,gcp_kvm_cxl_bpftime_node1,measured
3605,19200,11288.0,-1,11573.0,gcp_kvm_cxl_bpftime_node1,measured
3606,19200,10769.7,-1,11206.8,gcp_kvm_cxl_bpftime_node1,measured
3607,19200,11357.4,-1,11794.3,gcp_kvm_cxl_bpftime_node1,measured
3608,19200,10720.5,-1,11168.1,gcp_kvm_cxl_bpftime_node1,measured
3609,19200,10886.0,-1,11327.7,gcp_kvm_cxl_bpftime_node1,measured
3610,19200,11122.5,-1,11553.2,gcp_kvm_cxl_bpftime_node1,measured
3611,19200,11100.4,-1,11408.3,gcp_kvm_cxl_bpftime_node1,measured
3612,19200,10511.4,-1,10893.8,gcp_kvm_cxl_bpftime_node1,measured
3613,19200,10712.1,-1,11068.5,gcp_kvm_cxl_bpftime_node1,measured
3614,19200,10485.1,-1,10766.5,gcp_kvm_cxl_bpftime_node1,measured
3615,19200,11012.3,-1,11295.9,gcp_kvm_cxl_bpftime_node1,measured
3616,19200,10788.2,-1,11302.5,gcp_kvm_cxl_bpftime_node1,measured
3617,19200,11102.2,-1,11388.1,gcp_kvm_cxl_bpftime_node1,measured
3618,19200,11143.5,-1,11631.2,gcp_kvm_cxl_bpftime_node1,measured
3619,19200,11020.4,-1,11411.3,gcp_kvm_cxl_bpftime_node1,measured
3620,19200,10746.9,-1,11231.2,gcp_kvm_cxl_bpftime_node1,measured
3621,19200,10718.0,-1,11097.6,gcp_kvm_cxl_bpftime_node1,measured
3622,19200,11277.6,-1,11548.9,gcp_kvm_cxl_bpftime_node1,measured
3623,19200,11215.0,-1,11688.7,gcp_kvm_cxl_bpftime_node1,measured
3624,19200,10842.3,-1,11289.2,gcp_kvm_cxl_bpftime_node1,measured
3625,19200,11386.9,-1,11741.7,gcp_kvm_cxl_bpftime_node1,measured
