slot,latency_us,deadline_miss,emulation_mode,numa_node
0,31699738,1,qemu-cxl-persistent-memdev-node1,1
1,31488880,1,qemu-cxl-persistent-memdev-node1,1
2,31381129,1,qemu-cxl-persistent-memdev-node1,1
3,31358830,1,qemu-cxl-persistent-memdev-node1,1
4,31988679,1,qemu-cxl-persistent-memdev-node1,1
